id,driver,rider,state,time
47,marta35@yahoo.com,pedrohayes@yahoo.com,SUCCESS,2016-06-07 05:49:32
48,kutchjohnpaul@jacobs.org,gflatley@blanda.com,SUCCESS,2016-06-15 15:52:09
49,arla14@yahoo.com,chalmerwindler@hotmail.com,SUCCESS,2016-06-06 09:52:21
50,blynch@goodwin.com,jaretyundt@johnston.net,SUCCESS,2016-06-03 15:01:12
51,feesttruman@oberbrunner-vonrueden.net,rcole@fritsch.info,FAIL,2016-06-21 08:48:58
52,qhoeger@leuschke.net,annamariehodkiewicz@grimes-fay.com,SUCCESS,2016-06-03 06:03:37
53,birdieharris@gmail.com,arleenlemke@gmail.com,SUCCESS,2016-06-11 07:00:14
54,flatleydonnie@howell.info,swiftjune@hotmail.com,SUCCESS,2016-06-04 10:40:12
55,kbogisich@hirthe.info,elizbethjenkins@hotmail.com,SUCCESS,2016-06-13 10:45:01
56,ewill@hotmail.com,hamconnelly@raynor.com,FAIL,2016-06-13 07:48:45
57,christal75@upton.com,piper03@balistreri.com,SUCCESS,2016-06-13 07:06:34
58,kossgussie@mcclure.org,ialtenwerth@kutch.com,SUCCESS,2016-06-19 13:34:16
59,codiehagenes@friesen.info,shomenick@breitenberg-erdman.biz,SUCCESS,2016-06-04 20:52:47
60,tmcdermott@stoltenberg-collier.com,doloris41@okuneva.com,SUCCESS,2016-06-05 09:59:04
61,zayne11@braun.com,davy55@champlin.net,SUCCESS,2016-06-02 18:04:52
62,mcormier@cruickshank-kuhlman.com,issac72@hotmail.com,SUCCESS,2016-06-13 05:24:14
63,hwehner@gmail.com,kailey48@schmeler.com,SUCCESS,2016-06-08 17:46:37
64,murphykathie@gmail.com,ibecker@gutmann.com,FAIL,2016-06-09 16:51:28
65,weissnatverda@price.com,jermainrobel@hotmail.com,SUCCESS,2016-06-08 15:38:25
66,ispencer@gmail.com,haucklesly@veum-brakus.com,SUCCESS,2016-06-05 13:15:42
67,lenastark@schaefer-hilll.com,littletondietrich@gmail.com,SUCCESS,2016-06-19 20:41:38
68,delbertjerde@abbott.biz,augustinaorn@hamill.net,FAIL,2016-06-15 10:00:13
69,randolfnienow@yahoo.com,dachkayson@gmail.com,SUCCESS,2016-06-09 11:26:49
70,belleadams@yahoo.com,wlakin@gorczany.com,SUCCESS,2016-06-17 21:09:50
71,irven29@gmail.com,azaria42@hickle-stroman.com,SUCCESS,2016-06-06 19:02:09
72,rippinwilliam@gmail.com,trevonking@grady.com,FAIL,2016-06-03 10:07:31
73,hellertara@kuhlman.info,mona03@yahoo.com,FAIL,2016-06-06 09:47:11
74,nblock@brown.org,vsteuber@hotmail.com,SUCCESS,2016-06-10 12:02:40
75,luverneyundt@kozey.com,krajcikmargot@hotmail.com,SUCCESS,2016-06-07 02:26:16
76,jaylin43@hotmail.com,ballard91@hotmail.com,FAIL,2016-06-03 14:47:27
77,watsicawinfield@hotmail.com,randelcruickshank@yahoo.com,FAIL,2016-06-09 19:22:07
78,emmericharmand@gmail.com,leia16@considine.com,SUCCESS,2016-06-19 16:44:42
79,ciarramayer@keebler-howe.com,kautzeriverson@gmail.com,SUCCESS,2016-06-01 17:24:46
80,klingmetta@dibbert-emmerich.biz,trumaine12@windler.com,SUCCESS,2016-06-06 11:51:22
81,rosamond31@donnelly.com,busterwiegand@leffler.com,FAIL,2016-06-02 01:58:15
82,gbradtke@hotmail.com,tami35@hotmail.com,SUCCESS,2016-06-08 08:01:14
83,drewhudson@hotmail.com,oschneider@towne-pagac.org,SUCCESS,2016-06-17 00:06:58
84,haagmahalia@feest.com,twyman@yahoo.com,SUCCESS,2016-06-14 02:16:17
85,mmcglynn@schoen.net,bpfeffer@purdy-hyatt.info,FAIL,2016-06-20 02:21:43
86,elissabradtke@tillman.com,bogisichtamela@yahoo.com,SUCCESS,2016-06-21 03:50:12
87,luann19@yahoo.com,kesslermilton@kilback-gorczany.net,SUCCESS,2016-06-08 08:46:04
88,kparker@altenwerth.com,louisa76@anderson.org,SUCCESS,2016-06-19 10:14:53
89,mertzcamilo@gmail.com,chandratromp@kilback-mccullough.biz,SUCCESS,2016-06-10 11:07:49
90,aluettgen@cartwright.com,zblanda@wolf.biz,SUCCESS,2016-06-07 11:54:49
91,candidafisher@kling.com,efrainhermiston@kirlin-mclaughlin.com,SUCCESS,2016-06-13 01:47:02
92,thetaprohaska@gmail.com,akrajcik@weissnat.com,SUCCESS,2016-06-19 20:49:17
93,ulowe@yahoo.com,wstoltenberg@homenick.net,FAIL,2016-06-13 13:43:58
94,roll76@kautzer.com,bernardinegreenfelder@yost.net,SUCCESS,2016-06-20 05:20:57
95,elmer99@hotmail.com,ibreitenberg@kerluke.com,SUCCESS,2016-06-06 22:13:52
96,iwiegand@kuhic.com,melanysipes@gmail.com,SUCCESS,2016-06-12 01:30:02
97,gislasonjoni@green-fahey.biz,robertsbama@yahoo.com,FAIL,2016-06-16 14:16:20
98,jerdebrynlee@hotmail.com,dickinsonmalorie@gmail.com,SUCCESS,2016-06-14 03:43:32
99,atha40@lindgren.org,prosaccotherese@sipes.com,SUCCESS,2016-06-20 20:10:20
100,fadelshellie@hotmail.com,rhettinger@yahoo.com,SUCCESS,2016-06-10 02:25:15
101,elmer99@hotmail.com,morissetteneedham@yahoo.com,SUCCESS,2016-06-09 02:07:06
102,denis77@crona-connelly.com,ullrichiola@hotmail.com,SUCCESS,2016-06-06 04:44:33
103,stokescharley@bernhard.com,karlie25@yahoo.com,SUCCESS,2016-06-13 04:06:26
104,cole87@gmail.com,rbosco@mcglynn.info,SUCCESS,2016-06-04 14:54:50
105,agreenfelder@greenholt.net,elonzoshanahan@miller.com,SUCCESS,2016-06-07 10:07:19
106,boston71@jenkins.com,claudiolindgren@yahoo.com,SUCCESS,2016-06-08 09:21:03
107,jacobsoncatina@hotmail.com,cwilliamson@gmail.com,SUCCESS,2016-06-13 06:40:37
108,zbrown@yahoo.com,danyellfeest@kuhic-quigley.org,SUCCESS,2016-06-15 13:09:08
109,jmuller@yahoo.com,kheller@hotmail.com,SUCCESS,2016-06-14 13:36:06
110,mcormier@cruickshank-kuhlman.com,buckparisian@gleichner-schultz.net,SUCCESS,2016-06-18 08:41:49
111,trinityboehm@yahoo.com,kassulkemonica@gmail.com,FAIL,2016-06-04 14:53:38
112,wehnerriley@gmail.com,qbeier@hotmail.com,SUCCESS,2016-06-05 22:31:53
113,ywest@stiedemann.com,brittnimurray@stiedemann-haag.com,FAIL,2016-06-07 13:57:37
114,corwinsadie@bergstrom-windler.com,minervia39@hotmail.com,FAIL,2016-06-18 05:25:36
115,pagacnadia@hills.com,blancheschiller@hotmail.com,SUCCESS,2016-06-13 17:54:04
116,gail35@baumbach.net,hellerderic@yahoo.com,SUCCESS,2016-06-09 16:13:16
117,hodkiewiczrowan@yundt.org,aminkessler@jaskolski-wunsch.org,FAIL,2016-06-15 03:54:50
118,haagmahalia@feest.com,erohan@yahoo.com,SUCCESS,2016-06-19 04:14:53
119,eve52@gmail.com,irving55@abbott.com,SUCCESS,2016-06-17 20:17:39
120,russelzada@gmail.com,sbraun@gusikowski.biz,SUCCESS,2016-06-10 02:39:23
121,gabedaugherty@yahoo.com,annamarie71@yahoo.com,SUCCESS,2016-06-12 01:43:45
122,jacobsoncatina@hotmail.com,yhilpert@hotmail.com,FAIL,2016-06-14 11:57:18
123,jerdebrynlee@hotmail.com,twila61@gmail.com,SUCCESS,2016-06-18 20:30:07
124,russelzada@gmail.com,oweber@yahoo.com,FAIL,2016-06-20 06:44:29
125,stiedemannmearl@yahoo.com,mateo18@gmail.com,SUCCESS,2016-06-03 17:20:27
126,shickle@okon.net,mgibson@welch-mraz.com,SUCCESS,2016-06-15 23:07:42
127,babyboykonopelski@yahoo.com,kenleyhettinger@hotmail.com,SUCCESS,2016-06-13 02:49:41
128,jmorissette@hackett-russel.com,patrickhahn@gmail.com,SUCCESS,2016-06-20 11:12:50
129,doss89@hotmail.com,katharina89@collins.com,SUCCESS,2016-06-13 17:24:03
130,flatleydonnie@howell.info,bruenjayla@hotmail.com,SUCCESS,2016-06-10 20:54:46
131,belleadams@yahoo.com,wuckertmarkita@gmail.com,SUCCESS,2016-06-01 13:26:54
132,rogahnlindell@rosenbaum.com,allie93@oreilly.net,FAIL,2016-06-17 08:41:38
133,savannagottlieb@mckenzie.com,mona03@yahoo.com,SUCCESS,2016-06-02 17:58:54
134,drewhudson@hotmail.com,littletondietrich@gmail.com,SUCCESS,2016-06-19 14:05:50
135,bjacobs@klocko-hammes.org,zemlakrhonda@orn.com,SUCCESS,2016-06-14 19:47:12
136,pjacobi@will.biz,kcrooks@gmail.com,SUCCESS,2016-06-12 18:59:16
137,lweissnat@fadel.com,ashly84@hotmail.com,SUCCESS,2016-06-14 01:53:04
138,hmann@yahoo.com,xheidenreich@gmail.com,FAIL,2016-06-16 23:28:56
139,shade46@carroll-rodriguez.com,kulasmartell@hand.com,SUCCESS,2016-06-07 00:17:07
140,harrishoeger@hotmail.com,drew59@gmail.com,SUCCESS,2016-06-18 09:27:24
141,rempelnicky@hartmann.net,delliesimonis@yahoo.com,SUCCESS,2016-06-11 03:18:17
142,thetaprohaska@gmail.com,schimmelbernie@hotmail.com,SUCCESS,2016-06-07 01:52:53
143,collinsflint@yahoo.com,kohlerelvie@cartwright.org,SUCCESS,2016-06-09 18:08:07
144,omedhurst@schroeder.com,ehills@gmail.com,SUCCESS,2016-06-18 21:12:47
145,anyaraynor@littel-walter.biz,rheathcote@christiansen.com,SUCCESS,2016-06-03 08:55:30
146,hellertara@kuhlman.info,jesseniaheathcote@sawayn-herzog.com,SUCCESS,2016-06-16 19:42:39
147,juliann88@hotmail.com,emmalineokon@runte-gulgowski.org,FAIL,2016-06-07 23:55:00
148,juliette15@huel.org,ehaag@okeefe.biz,SUCCESS,2016-06-15 00:08:44
149,marina68@olson-orn.com,ferman89@wiza.net,SUCCESS,2016-06-05 03:00:41
150,harrishoeger@hotmail.com,jastjay@hilpert.net,SUCCESS,2016-06-15 10:35:33
151,fweber@hotmail.com,vsteuber@hotmail.com,FAIL,2016-06-07 19:39:22
152,dyan19@hyatt.com,kbeatty@hermiston-schuppe.com,FAIL,2016-06-02 16:19:58
153,gottliebmonika@upton-oconner.com,dwyane29@bauch.biz,SUCCESS,2016-06-19 02:02:32
154,shelly17@oconner.net,dockbeer@wisozk.org,SUCCESS,2016-06-07 20:44:29
155,archferry@lehner.com,briannekoch@mckenzie.net,SUCCESS,2016-06-06 02:49:00
156,luann19@yahoo.com,hwillms@gmail.com,SUCCESS,2016-06-20 19:21:04
157,bertrandmccullough@schneider.biz,margrett12@gmail.com,SUCCESS,2016-06-06 00:14:41
158,aretha47@hotmail.com,nathaliebotsford@barton.com,FAIL,2016-06-18 22:21:50
159,hellertara@kuhlman.info,adurgan@marvin.com,FAIL,2016-06-20 23:06:22
160,steviepouros@blanda-barton.biz,xkassulke@gmail.com,SUCCESS,2016-06-06 05:28:02
161,hattiedickens@kutch.com,blickclem@yahoo.com,SUCCESS,2016-06-10 12:00:15
162,langamaris@hotmail.com,strosinfrancis@jacobi.net,SUCCESS,2016-06-12 11:26:41
163,gottliebmonika@upton-oconner.com,melinda21@waelchi.biz,SUCCESS,2016-06-17 12:41:22
164,ppagac@morissette-schuster.com,ndickinson@hotmail.com,SUCCESS,2016-06-03 16:07:40
165,lweissnat@fadel.com,tishaokuneva@sporer.com,SUCCESS,2016-06-02 10:33:28
166,gail35@baumbach.net,estefanigottlieb@yahoo.com,SUCCESS,2016-06-09 11:37:04
167,corinnajohns@hotmail.com,evanthompson@witting.biz,FAIL,2016-06-14 18:36:07
168,menachempowlowski@hills.com,jermainbailey@gmail.com,SUCCESS,2016-06-19 20:50:47
169,jaidynwalsh@corkery.info,aernser@kunze.com,FAIL,2016-06-10 19:34:23
170,ullrichstorm@bauch.com,albina44@lang.com,SUCCESS,2016-06-09 00:12:20
171,zdickens@stoltenberg.com,schuppeduff@runolfsson.com,FAIL,2016-06-17 18:27:10
172,scollins@wuckert.biz,esmeraldaleffler@hotmail.com,SUCCESS,2016-06-08 16:47:30
173,harriskinley@mckenzie-predovic.org,devon51@spencer-gottlieb.com,FAIL,2016-06-13 09:55:50
174,nohara@yahoo.com,aleasestamm@kutch.net,SUCCESS,2016-06-03 13:59:49
175,samara25@rodriguez.com,walterbrennen@cassin.biz,SUCCESS,2016-06-03 23:03:55
176,smith82@bins.com,ferne26@yahoo.com,FAIL,2016-06-06 14:21:40
177,kparker@altenwerth.com,remywindler@wuckert-okeefe.com,SUCCESS,2016-06-18 19:46:49
178,denis77@crona-connelly.com,parisianwava@barton.biz,SUCCESS,2016-06-17 12:33:28
179,bergstromira@yahoo.com,gena31@gmail.com,FAIL,2016-06-12 16:36:34
180,fweber@hotmail.com,adamselwanda@gmail.com,FAIL,2016-06-07 08:53:02
181,bjornbednar@hotmail.com,caydence06@schinner.com,SUCCESS,2016-06-11 17:17:00
182,kimberley19@gmail.com,berkleyzieme@ullrich.info,SUCCESS,2016-06-02 07:11:21
183,shade46@carroll-rodriguez.com,damorekinte@gmail.com,SUCCESS,2016-06-13 08:07:55
184,link15@hayes.org,hauckshavon@oconnell-nienow.biz,FAIL,2016-06-10 22:24:38
185,ritchienell@gmail.com,dshields@koch-grimes.com,FAIL,2016-06-01 20:07:30
186,leannonmontana@ziemann-roberts.com,chowe@yahoo.com,SUCCESS,2016-06-19 15:46:21
187,bjacobs@klocko-hammes.org,skilesrylee@hotmail.com,SUCCESS,2016-06-02 19:32:27
188,johnny24@gmail.com,ceasar87@hotmail.com,SUCCESS,2016-06-15 07:56:14
189,ratkebrandee@yahoo.com,kziemann@yahoo.com,SUCCESS,2016-06-17 04:12:35
190,sengerjuli@hotmail.com,khoppe@sporer.info,SUCCESS,2016-06-12 02:24:14
191,jaylin43@hotmail.com,gutkowskirosia@hotmail.com,SUCCESS,2016-06-02 00:15:21
192,johnny24@gmail.com,worth31@pfannerstill.com,FAIL,2016-06-18 19:39:07
193,russelzada@gmail.com,jettiekris@emard.net,SUCCESS,2016-06-20 20:21:23
194,gottliebcandida@treutel.net,michal26@gmail.com,SUCCESS,2016-06-01 19:30:30
195,tiarra75@hotmail.com,fernlueilwitz@abernathy.biz,SUCCESS,2016-06-05 11:39:13
196,dustin25@sporer-little.com,carroll06@ledner-walsh.org,SUCCESS,2016-06-12 19:35:32
197,shickle@okon.net,maddisonbeatty@kling-haag.com,SUCCESS,2016-06-12 04:32:54
198,kalibarrows@gmail.com,ofahey@johnson-damore.org,SUCCESS,2016-06-09 13:27:06
199,hconsidine@yahoo.com,aaronhand@hilll.com,FAIL,2016-06-15 12:28:12
200,okunevarenada@cummings-bahringer.com,fkertzmann@denesik.com,SUCCESS,2016-06-18 05:32:38
201,santana79@hotmail.com,adan01@langworth-kihn.info,SUCCESS,2016-06-01 20:52:37
202,xhuel@jaskolski.info,emardanwar@haley.com,SUCCESS,2016-06-17 13:00:09
203,shirliehuels@wilkinson-mcdermott.org,verlenekeeling@yahoo.com,SUCCESS,2016-06-18 18:39:27
204,kutchtilman@gmail.com,wunschamare@smitham.com,SUCCESS,2016-06-11 00:14:22
205,paucekthedore@hotmail.com,howeardelia@hotmail.com,SUCCESS,2016-06-08 06:35:02
206,bcollier@thiel-hammes.biz,halvorsonmaira@yahoo.com,FAIL,2016-06-05 20:13:30
207,zdickens@stoltenberg.com,aydin02@hotmail.com,SUCCESS,2016-06-04 20:49:15
208,harriskinley@mckenzie-predovic.org,ckub@gottlieb.net,SUCCESS,2016-06-12 08:59:02
209,kdeckow@yahoo.com,hope95@goyette.com,SUCCESS,2016-06-02 06:15:01
210,skeeling@homenick.com,morarchristal@hermiston.info,FAIL,2016-06-19 16:43:18
211,ratkebrandee@yahoo.com,hokewintheiser@hotmail.com,FAIL,2016-06-03 14:22:10
212,xstracke@lynch.com,ugreen@hotmail.com,SUCCESS,2016-06-03 23:37:40
213,ifeeney@zemlak-koelpin.com,offieoconner@gmail.com,SUCCESS,2016-06-12 09:17:01
214,arra07@gmail.com,burneybartell@pollich.net,SUCCESS,2016-06-06 14:25:45
215,pjacobi@will.biz,bschaden@waelchi.com,SUCCESS,2016-06-11 02:21:00
216,ptremblay@mcclure-dibbert.info,quincy99@hotmail.com,SUCCESS,2016-06-06 19:45:10
217,bjornbednar@hotmail.com,kochelgin@yahoo.com,FAIL,2016-06-13 15:24:27
218,litzyadams@yahoo.com,galen92@hotmail.com,SUCCESS,2016-06-02 01:30:39
219,carolyne39@hotmail.com,nwolff@gmail.com,FAIL,2016-06-14 10:31:35
220,delbertjerde@abbott.biz,bogisichangeles@yahoo.com,SUCCESS,2016-06-18 12:57:54
221,iwiegand@kuhic.com,zenas29@nicolas.com,SUCCESS,2016-06-11 05:29:19
222,jerdebrynlee@hotmail.com,cartergrover@yahoo.com,SUCCESS,2016-06-17 20:27:14
223,malik87@howell.com,trula03@yahoo.com,SUCCESS,2016-06-12 18:12:16
224,rabernathy@gmail.com,xhowell@haley.org,SUCCESS,2016-06-03 12:48:29
225,dustin25@sporer-little.com,zjacobi@hotmail.com,SUCCESS,2016-06-10 06:40:50
226,jazmin18@windler.com,kohlerelvie@cartwright.org,FAIL,2016-06-11 05:57:08
227,lkrajcik@yahoo.com,walkerlavada@hotmail.com,SUCCESS,2016-06-09 08:36:13
228,zayne11@braun.com,clellasanford@gmail.com,SUCCESS,2016-06-07 13:39:16
229,yokeefe@ryan.org,alesia76@gmail.com,SUCCESS,2016-06-16 08:43:53
230,awintheiser@gmail.com,fbarrows@hoeger.net,SUCCESS,2016-06-03 02:41:43
231,scruickshank@gmail.com,dlindgren@gmail.com,SUCCESS,2016-06-14 22:15:21
232,ramonbailey@reinger.net,khansen@lockman.org,SUCCESS,2016-06-12 13:10:20
233,lelaconn@klein.com,funkbobbye@maggio-mann.com,FAIL,2016-06-04 18:12:49
234,candis49@herman-runte.com,wsimonis@gmail.com,SUCCESS,2016-06-17 16:51:59
235,russelzada@gmail.com,keeblerlupe@yahoo.com,SUCCESS,2016-06-13 15:23:56
236,corinnajohns@hotmail.com,jacobiancil@yahoo.com,SUCCESS,2016-06-08 02:47:32
237,desiraesimonis@gmail.com,rosena20@yahoo.com,FAIL,2016-06-15 05:07:10
238,sjenkins@luettgen.biz,rcrooks@hotmail.com,SUCCESS,2016-06-10 01:11:42
239,awintheiser@gmail.com,pollichdestiny@kuvalis.com,SUCCESS,2016-06-05 22:19:18
240,langamaris@hotmail.com,lschoen@yahoo.com,SUCCESS,2016-06-12 00:07:15
241,ywest@stiedemann.com,strackelorine@hotmail.com,SUCCESS,2016-06-02 08:50:06
242,okunevarenada@cummings-bahringer.com,edwincassin@greenholt.com,SUCCESS,2016-06-02 09:17:21
243,gabedaugherty@yahoo.com,dgibson@hotmail.com,SUCCESS,2016-06-20 10:26:09
244,zbrown@yahoo.com,nicolasclay@gmail.com,SUCCESS,2016-06-14 17:53:36
245,robertsvaughn@collins-leffler.com,ama78@gmail.com,SUCCESS,2016-06-18 02:16:07
246,walshbyrd@gmail.com,haneinfant@altenwerth.com,SUCCESS,2016-06-02 14:40:21
247,atharaynor@hammes.com,arlenalang@hotmail.com,SUCCESS,2016-06-16 06:40:30
248,shelly17@oconner.net,johnpaulabernathy@rutherford-prosacco.com,FAIL,2016-06-01 20:13:41
249,malik87@howell.com,else43@hotmail.com,SUCCESS,2016-06-18 23:21:43
250,jmorissette@hackett-russel.com,joaniebuckridge@waters-conroy.org,SUCCESS,2016-06-20 14:13:26
251,corinnajohns@hotmail.com,jovanni51@hotmail.com,SUCCESS,2016-06-16 00:27:23
252,yandeldach@haag.org,giovanni97@yahoo.com,SUCCESS,2016-06-07 20:47:30
253,walshtyler@green-stark.org,kailey48@schmeler.com,SUCCESS,2016-06-17 18:15:51
254,ullrichstorm@bauch.com,delsie98@hotmail.com,SUCCESS,2016-06-05 07:19:15
255,cherrylbednar@gmail.com,fboyle@gmail.com,SUCCESS,2016-06-01 19:16:04
256,omedhurst@schroeder.com,titocorkery@flatley.com,SUCCESS,2016-06-07 19:15:52
257,pjacobi@will.biz,mcglynnrocio@boehm.info,SUCCESS,2016-06-12 00:29:05
258,ullrichstorm@bauch.com,montgomery03@kozey.com,SUCCESS,2016-06-17 16:14:00
259,jacobsoncatina@hotmail.com,starkemilie@rowe-bashirian.biz,FAIL,2016-06-20 12:53:35
260,strackealene@hotmail.com,skilesavery@veum-hermann.com,SUCCESS,2016-06-20 02:42:42
261,delsiecarter@gmail.com,ibuckridge@botsford-hermiston.com,SUCCESS,2016-06-21 11:27:51
262,huelsconstance@hotmail.com,khodkiewicz@walker.org,SUCCESS,2016-06-15 16:16:46
263,rhills@mcglynn.com,geraldine03@boyle.biz,SUCCESS,2016-06-09 13:45:43
264,awintheiser@gmail.com,jasminenicolas@hotmail.com,FAIL,2016-06-08 01:15:57
265,clementinafritsch@gmail.com,dyanluettgen@yahoo.com,SUCCESS,2016-06-06 02:20:02
266,cartwrightetter@yahoo.com,oconnerreese@ebert-wunsch.com,FAIL,2016-06-16 04:45:40
267,blesch@yahoo.com,nbrown@yahoo.com,SUCCESS,2016-06-15 14:37:36
268,preichel@gmail.com,remington25@gmail.com,SUCCESS,2016-06-02 21:54:31
269,legrosrahn@moen.com,yundtcory@hotmail.com,SUCCESS,2016-06-11 10:02:35
270,xstracke@lynch.com,kylahettinger@hotmail.com,SUCCESS,2016-06-06 10:02:29
271,birdieharris@gmail.com,beckeranita@kozey-lueilwitz.info,SUCCESS,2016-06-03 22:34:41
272,sjenkins@luettgen.biz,socorro65@bergstrom.net,SUCCESS,2016-06-11 07:47:39
273,vicy41@hotmail.com,randle62@hotmail.com,SUCCESS,2016-06-06 01:18:32
274,rempelnicky@hartmann.net,kattiewitting@hotmail.com,FAIL,2016-06-11 04:02:59
275,sawaynlugenia@yahoo.com,marilla64@gmail.com,SUCCESS,2016-06-19 13:34:35
276,mcormier@cruickshank-kuhlman.com,lefflerdejah@gmail.com,SUCCESS,2016-06-17 02:49:56
277,barbiekunde@hansen.com,vjacobson@hotmail.com,SUCCESS,2016-06-09 22:44:54
278,denis77@crona-connelly.com,julietterogahn@kreiger.biz,SUCCESS,2016-06-04 06:46:14
279,jaidynwalsh@corkery.info,venessadietrich@hotmail.com,FAIL,2016-06-03 03:39:34
280,smith82@bins.com,mmckenzie@gmail.com,SUCCESS,2016-06-14 03:14:29
281,kiyoshijerde@jenkins.net,cruickshankhilton@witting.com,SUCCESS,2016-06-18 07:59:19
282,dangeloyundt@wisoky.org,trishhand@gmail.com,SUCCESS,2016-06-01 17:04:26
283,purdyevans@gmail.com,marleefeest@mayert.com,SUCCESS,2016-06-20 13:37:26
284,huelsconstance@hotmail.com,gutmannkatlyn@hotmail.com,SUCCESS,2016-06-04 02:30:01
285,blynch@goodwin.com,tishaokuneva@sporer.com,SUCCESS,2016-06-17 17:38:46
286,baileyalex@ohara.com,zkihn@gmail.com,SUCCESS,2016-06-09 19:07:24
287,omedhurst@schroeder.com,bmorar@hoeger.org,SUCCESS,2016-06-03 08:06:55
288,jerdebrynlee@hotmail.com,taylamante@leuschke-ward.com,SUCCESS,2016-06-08 05:33:29
289,homenickcason@conroy-lowe.com,whitedann@keeling-mosciski.com,SUCCESS,2016-06-02 02:58:06
